TournamentID,StageID,StageSequence,StageURL
7844,23255,6,https://th.sportscorpion.com/eng/tournament/stage/23255/matches/?print
7844,23256,7,https://th.sportscorpion.com/eng/tournament/stage/23256/matches/?print
7962,23242,2,https://th.sportscorpion.com/eng/tournament/stage/23242/matches/?print
7981,23241,2,https://th.sportscorpion.com/eng/tournament/stage/23241/matches/?print
7982,23240,2,https://th.sportscorpion.com/eng/tournament/stage/23240/matches/?print
7965,23226,1,https://th.sportscorpion.com/eng/tournament/stage/23226/matches/?print
7965,23232,2,https://th.sportscorpion.com/eng/tournament/stage/23232/matches/?print
7965,23233,3,https://th.sportscorpion.com/eng/tournament/stage/23233/matches/?print
7965,23234,4,https://th.sportscorpion.com/eng/tournament/stage/23234/matches/?print
7965,23235,5,https://th.sportscorpion.com/eng/tournament/stage/23235/matches/?print
7965,23237,6,https://th.sportscorpion.com/eng/tournament/stage/23237/matches/?print
7965,23238,7,https://th.sportscorpion.com/eng/tournament/stage/23238/matches/?print
7967,23231,2,https://th.sportscorpion.com/eng/tournament/stage/23231/matches/?print
7973,23239,2,https://th.sportscorpion.com/eng/tournament/stage/23239/matches/?print
7974,23225,2,https://th.sportscorpion.com/eng/tournament/stage/23225/matches/?print
7974,23228,3,https://th.sportscorpion.com/eng/tournament/stage/23228/matches/?print
7974,23229,3,https://th.sportscorpion.com/eng/tournament/stage/23229/matches/?print
7974,23230,3,https://th.sportscorpion.com/eng/tournament/stage/23230/matches/?print
7974,23227,3,https://th.sportscorpion.com/eng/tournament/stage/23227/matches/?print
7970,23200,2,https://th.sportscorpion.com/eng/tournament/stage/23200/matches/?print
7970,23202,3,https://th.sportscorpion.com/eng/tournament/stage/23202/matches/?print
7971,23201,2,https://th.sportscorpion.com/eng/tournament/stage/23201/matches/?print
7972,23203,1,https://th.sportscorpion.com/eng/tournament/stage/23203/matches/?print
7972,23206,2,https://th.sportscorpion.com/eng/tournament/stage/23206/matches/?print
7972,23207,3,https://th.sportscorpion.com/eng/tournament/stage/23207/matches/?print
7972,23208,4,https://th.sportscorpion.com/eng/tournament/stage/23208/matches/?print
7972,23209,5,https://th.sportscorpion.com/eng/tournament/stage/23209/matches/?print
7972,23210,6,https://th.sportscorpion.com/eng/tournament/stage/23210/matches/?print
7968,23198,2,https://th.sportscorpion.com/eng/tournament/stage/23198/matches/?print
7969,23199,2,https://th.sportscorpion.com/eng/tournament/stage/23199/matches/?print
7904,23171,2,https://th.sportscorpion.com/eng/tournament/stage/23171/matches/?print
7904,23172,3,https://th.sportscorpion.com/eng/tournament/stage/23172/matches/?print
7904,23173,4,https://th.sportscorpion.com/eng/tournament/stage/23173/matches/?print
7904,23174,5,https://th.sportscorpion.com/eng/tournament/stage/23174/matches/?print
7904,23175,6,https://th.sportscorpion.com/eng/tournament/stage/23175/matches/?print
7899,23186,1,https://th.sportscorpion.com/eng/tournament/stage/23186/matches/?print
7899,23193,2,https://th.sportscorpion.com/eng/tournament/stage/23193/matches/?print
7899,23195,3,https://th.sportscorpion.com/eng/tournament/stage/23195/matches/?print
7899,23196,4,https://th.sportscorpion.com/eng/tournament/stage/23196/matches/?print
7899,23197,5,https://th.sportscorpion.com/eng/tournament/stage/23197/matches/?print
7915,23185,1,https://th.sportscorpion.com/eng/tournament/stage/23185/matches/?print
7915,23188,2,https://th.sportscorpion.com/eng/tournament/stage/23188/matches/?print
7915,23189,3,https://th.sportscorpion.com/eng/tournament/stage/23189/matches/?print
7915,23194,4,https://th.sportscorpion.com/eng/tournament/stage/23194/matches/?print
7917,23177,1,https://th.sportscorpion.com/eng/tournament/stage/23177/matches/?print
7917,23180,2,https://th.sportscorpion.com/eng/tournament/stage/23180/matches/?print
7917,23181,3,https://th.sportscorpion.com/eng/tournament/stage/23181/matches/?print
7917,23182,4,https://th.sportscorpion.com/eng/tournament/stage/23182/matches/?print
7917,23183,5,https://th.sportscorpion.com/eng/tournament/stage/23183/matches/?print
7938,23176,2,https://th.sportscorpion.com/eng/tournament/stage/23176/matches/?print
7938,23190,3,https://th.sportscorpion.com/eng/tournament/stage/23190/matches/?print
7938,23191,4,https://th.sportscorpion.com/eng/tournament/stage/23191/matches/?print
7998,23279,1,https://th.sportscorpion.com/eng/tournament/stage/23279/matches/?print
7937,23165,2,https://th.sportscorpion.com/eng/tournament/stage/23165/matches/?print
7937,23166,3,https://th.sportscorpion.com/eng/tournament/stage/23166/matches/?print
7937,23167,4,https://th.sportscorpion.com/eng/tournament/stage/23167/matches/?print
7942,23168,1,https://th.sportscorpion.com/eng/tournament/stage/23168/matches/?print
7942,23169,2,https://th.sportscorpion.com/eng/tournament/stage/23169/matches/?print
7942,23170,3,https://th.sportscorpion.com/eng/tournament/stage/23170/matches/?print
7964,23184,2,https://th.sportscorpion.com/eng/tournament/stage/23184/matches/?print
7951,23164,2,https://th.sportscorpion.com/eng/tournament/stage/23164/matches/?print
7930,23158,2,https://th.sportscorpion.com/eng/tournament/stage/23158/matches/?print
7930,23159,3,https://th.sportscorpion.com/eng/tournament/stage/23159/matches/?print
7930,23160,4,https://th.sportscorpion.com/eng/tournament/stage/23160/matches/?print
7930,23161,5,https://th.sportscorpion.com/eng/tournament/stage/23161/matches/?print
7930,23162,6,https://th.sportscorpion.com/eng/tournament/stage/23162/matches/?print
7961,23157,2,https://th.sportscorpion.com/eng/tournament/stage/23157/matches/?print
7961,23163,3,https://th.sportscorpion.com/eng/tournament/stage/23163/matches/?print
7940,23154,2,https://th.sportscorpion.com/eng/tournament/stage/23154/matches/?print
7952,23155,2,https://th.sportscorpion.com/eng/tournament/stage/23155/matches/?print
7960,23153,2,https://th.sportscorpion.com/eng/tournament/stage/23153/matches/?print
7960,23156,3,https://th.sportscorpion.com/eng/tournament/stage/23156/matches/?print
7958,23147,2,https://th.sportscorpion.com/eng/tournament/stage/23147/matches/?print
7958,23151,3,https://th.sportscorpion.com/eng/tournament/stage/23151/matches/?print
7958,23152,4,https://th.sportscorpion.com/eng/tournament/stage/23152/matches/?print
7959,23148,2,https://th.sportscorpion.com/eng/tournament/stage/23148/matches/?print
7959,23149,3,https://th.sportscorpion.com/eng/tournament/stage/23149/matches/?print
7959,23150,4,https://th.sportscorpion.com/eng/tournament/stage/23150/matches/?print
7857,23082,1,https://th.sportscorpion.com/eng/tournament/stage/23082/matches/?print
7857,23116,2,https://th.sportscorpion.com/eng/tournament/stage/23116/matches/?print
7857,23118,3,https://th.sportscorpion.com/eng/tournament/stage/23118/matches/?print
7954,23125,2,https://th.sportscorpion.com/eng/tournament/stage/23125/matches/?print
7954,23129,3,https://th.sportscorpion.com/eng/tournament/stage/23129/matches/?print
7954,23130,4,https://th.sportscorpion.com/eng/tournament/stage/23130/matches/?print
7954,23131,5,https://th.sportscorpion.com/eng/tournament/stage/23131/matches/?print
7954,23132,6,https://th.sportscorpion.com/eng/tournament/stage/23132/matches/?print
7955,23127,2,https://th.sportscorpion.com/eng/tournament/stage/23127/matches/?print
7955,23133,3,https://th.sportscorpion.com/eng/tournament/stage/23133/matches/?print
7955,23134,4,https://th.sportscorpion.com/eng/tournament/stage/23134/matches/?print
